Category	Descript
other	I was traveling with two other couples and this was our first stop on a 10 day tour of Spain.
other	A flexible tool, super-easy to use.
other	The service led by [name] and [name] was superb.
other	What for?
other	the staff, location, style, ambiance etc etc.
other	It was as if my entire life had no purpose without him.
request	It's amazing I am hoping it can be soon available for us Mac users :)
bug	1. It crash constantly -- often APPCRASH
request	Where is Indonesian /Indian (Indian hotel chain) hospitality in here?!?
bug	Damn hate the latest version, dont really care how the out look change but less much much function especially no more search history.
other	Otherwise love the game!!!
bug	The casino next door and the McDonald restaurant get very busy very late at night.
other	Room very comfortable plenty of space to move around - beds excellent with double pillows provided great .
bug	Utterly unusable now.
other	Delicious food, dinner and many more.
other	Good Work
bug	aircon leaking and leaving puddles in the room everyday.
other	Tried all sorts of folder color programs, this is by far the best and is easy to use.
other	This means the hotel is good.
other	It is also close (10 min walking) from las Ramblas.
other	If you are truly looking for a truly 5 star memorable experience in Paris, then this is the place to stay.
bug	The laundry service stained my white shirt and weren't able to fix it.
bug	We had three people and thought we were getting more of a suite or larger room.
other	Comfortable big bed.
bug	Valves steam service is the worst customer service experience i have ever had!
other	And to be fair, I didn't tell the team about it.
other	The app is grand until you make sure mistake and very difficult to correct
bug	The app is grand until you make sure mistake and very difficult to correct
bug	Please fix it!!!
bug	Rooms old and smelled stuffy, could do with a new reno, need more wardrobe space, the worse staircase in the middle going down to the main restaurant and pool area, and the light lit underneath the dteps ate really bad while walking up the stairs on my last day I missed my foot and have hurt my shoulder Always avoided it as it did not look safe.
request	Rooms old and smelled stuffy, could do with a new reno, need more wardrobe space, the worse staircase in the middle going down to the main restaurant and pool area, and the light lit underneath the dteps ate really bad while walking up the stairs on my last day I missed my foot and have hurt my shoulder Always avoided it as it did not look safe.
bug	The bed side lamps in the room were controlled with the main switch so they would only work when the main light came on, they didn't work on their own.
other	Videos transferred but purchased ones didnt play.
bug	Videos transferred but purchased ones didnt play.
other	I primarily use this app for all my Ryanair flight schedules and boarding passes.
other	Our room has one of the better showers I have seen in Europe.
bug	Staff very poor (except receptionists)
other	Fastest torrent vuze try every body.
other	Fun and great deals.
other	Beautiful and charming decor.
bug	Also, it's not even possible to watch directly on the RTE website as the link just directs you to watch it on the Android app.
undetermined	Make the app simple & user-friendly not a puzzle game or something else
other	Rest the App is awesome enjoyed being its user
request	please help.
undetermined	It's just saddening when you expect something in the mail and it never shows.
other	I redeemed 50 on the Mar 5th,and got the money instant.
other	We booked CM last minute, based on TripAdvisor reviews and I'm so glad we did.
request	More daybeds in the grassy area facing the ocean.
bug	The ads are soo many don't download this app never ever.
other	Hotel is a valuable georgian/victorian house With big wooden window that has been kept since building time.
other	nice game really spoopy ;-;
bug	nice game really spoopy ;-;
other	Staff were very nice and our room was very comfortable and clean.
other	:)
other	This article is about the company.
other	Monitored by Google
other	IT IS VERY ADDICTING.
other	Good I used it in I found very sayisfied in ir
